Producto,Cantidad,Unidad de medida,Tipo de lista de materiales,Componente,Cantidad de componente,Unidad de medida del componente
,,,,⚠️ CREAR EN ODOO: TINOGARD TT,0.4,g
[NIA] NIA,1000,g,Fabricar este producto,[MPAQ001] AQUA,914.3,g
,,,,[MPNIA156] NIACINAMIDE,50.0,g
,,,,[MPPHT250] PHENOXYETHANOL,10.0,g
,,,,[MPNAG088] N-ACETYL GLUCOSAMINE,5.0,g
,,,,[MPGLT091] GLUCONOLACTONE,3.0,g
,,,,[MPAH5123] HYALURONIC ACID 50KD,3.5,g
,,,,[MPAH1124] HYALURONIC ACID 1500KD,0.5,g
,,,,[MPAH3122] HYALURONIC ACID 300KD,0.5,g
,,,,[MPBET103] BETAINE,0.5,g
,,,,[MPECT148] ECTOIN,1.0,g
,,,,[MPPAT131] PANTENOL POLVO,0.5,g
,,,,⚠️ CREAR EN ODOO: TOCOPHERYL ACETATE,1.5,g
,,,,[MPTRI145] CENTELLA ASIATICA EXTRACT TRITERPENOS 80%,0.1,g
,,,,[MPASI144] CENTELLA ASIATICA EXTRACT ASIATICOSIDE 95%,0.1,g
,,,,[MPHEX046] HEXANEDIOL,5.0,g
,,,,⚠️ CREAR EN ODOO: DIMETHICONE/VINYL DIMETHICONE CROSSPOLYMER,3.0,g
,,,,[MPEDT008] EDTA DISODICO,0.5,g
,,,,[MPGLE263] GLYCERIN,1.0,g
[SVITC] SVITC,1000,g,Fabricar este producto,[MPAQ001] AQUA,810.0,g
,,,,[MPPRG256] PROPYLENE GLYCOL,35.0,g
,,,,[MPASC109] ASCORBIC ACID,60.0,g
,,,,[MPALP121] ALPHA-ARBUTIN,20.0,g
,,,,[MPGLT091] GLUCONOLACTONE,10.0,g
,,,,[MPEDT008] EDTA DISODICO,0.5,g
,,,,[MPACC093] CITRIC ACID,1.0,g
,,,,[MPGLC087] GLYCINAMIDE,0.5,g
,,,,[MPHCO104] HYDROLYZED COLLAGEN,0.5,g
,,,,[MPERG150] ERGOTHIONEINA,0.5,g
,,,,⚠️ CREAR EN ODOO: DIMETHICONE/VINYL DIMETHICONE CROSSPOLYMER,1.5,g
,,,,[MPEAA112] 3-O-ETHYL ASCORBIC ACID,40.0,g
,,,,[MPGLU089] GLUTATHIONE,0.5,g
,,,,⚠️ CREAR EN ODOO: TOCOPHERYL ACETATE,5.0,g
,,,,[MPAKO095] KOJIC ACID,1.0,g
,,,,[MPCYC111] CYCLODEXTRIN,1.0,g
,,,,[MPAH5123] HYALURONIC ACID 50KD,3.0,g
,,,,[MPPHT250] PHENOXYETHANOL,10.0,g
[NPHA] NPHA,1000,g,Fabricar este producto,[MPAQ001] AQUA,777.9,g
,,,,[MPGLT091] GLUCONOLACTONE,80.0,g
,,,,[MPALA063] LACTIC ACID,40.0,g
,,,,[MPSHI076] SODIUM HYDROXIDE,30.0,g
,,,,[MPALP121] ALPHA-ARBUTIN,20.0,g
,,,,[MPNAG088] N-ACETYL GLUCOSAMINE,10.0,g
,,,,[MPPRG256] PROPYLENE GLYCOL,10.0,g
,,,,[MPPHT250] PHENOXYETHANOL,10.0,g
,,,,[MPASA094] SALICYLIC ACID,5.0,g
,,,,[MPURE017] UREA,5.0,g
,,,,[MPAAZ096] AZELAIC ACID,2.0,g
,,,,[MPAKO095] KOJIC ACID,2.0,g
,,,,[MPAH5123] HYALURONIC ACID 50KD,2.0,g
,,,,[MPCYC111] CYCLODEXTRIN,2.0,g
,,,,[MPCAE143] CENTELLA ASIATICA EXTRACT,0.5,g
,,,,[MPGGR133] GLYCYRRHIZA GLABRA ROOT,0.1,g
,,,,⚠️ CREAR EN ODOO: DIMETHICONE/VINYL DIMETHICONE CROSSPOLYMER,3.0,g
,,,,[MPEDT008] EDTA DISODICO,0.5,g
[SAH] SAH,1000,g,Fabricar este producto,[MPAQ001] AQUA,952.1,g
,,,,[MPGLE263] GLYCERIN,10.0,g
,,,,[MPPHT250] PHENOXYETHANOL,10.0,g
,,,,[MPAH5123] HYALURONIC ACID 50KD,8.0,g
,,,,[MPAH3122] HYALURONIC ACID 300KD,4.0,g
,,,,[MPBET103] BETAINE,3.5,g
,,,,[MPAH1124] HYALURONIC ACID 1500KD,3.0,g
,,,,[MPALL097] ALLANTOIN,3.0,g
,,,,[MPGLT091] GLUCONOLACTONE,3.0,g
,,,,⚠️ CREAR EN ODOO: TOCOPHERYL ACETATE,2.0,g
,,,,[MPPAT131] PANTENOL POLVO,1.0,g
,,,,[MPBEG102] BETA-GLUCAN,0.3,g
,,,,[MPAB2100] ALOE BARBADENSIS LEAF JUICE,0.1,g
